player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
John Madden (C),New Jersey Devils,80,19,22,41,0.51,26,13,https://www.eliteprospects.com/player/8723/john-madden,2002-03,nhl,John Madden,C,FW,John Madden,2.0,1
Roman Hamrlík (D),New York Islanders,73,9,32,41,0.56,87,21,https://www.eliteprospects.com/player/8607/roman-hamrlik,2002-03,nhl,Roman Hamrlík,D,DEF,0,0.0,0
Dick Tärnström (D),Pittsburgh Penguins,61,7,34,41,0.67,50,-11,https://www.eliteprospects.com/player/744/dick-tarnstrom,2002-03,nhl,Dick Tärnström,D,DEF,0,0.0,0
Sergei Berezin (LW),totals,75,23,17,40,0.53,12,7,https://www.eliteprospects.com/player/31446/sergei-berezin,2002-03,nhl,Sergei Berezin,LW,FW,0,0.0,0
Tomas Holmström (RW),Detroit Red Wings,74,20,20,40,0.54,62,11,https://www.eliteprospects.com/player/712/tomas-holmstrom,2002-03,nhl,Tomas Holmström,RW,FW,0,0.0,0
Mark Messier (C),New York Rangers,78,18,22,40,0.51,30,-2,https://www.eliteprospects.com/player/21309/mark-messier,2002-03,nhl,Mark Messier,C,FW,0,0.0,0
Fredrik Modin (LW),Tampa Bay Lightning,76,17,23,40,0.53,43,7,https://www.eliteprospects.com/player/727/fredrik-modin,2002-03,nhl,Fredrik Modin,LW,FW,0,0.0,0
Jan Bulis (C/LW),Montréal Canadiens,82,16,24,40,0.49,30,9,https://www.eliteprospects.com/player/8368/jan-bulis,2002-03,nhl,Jan Bulis,C/LW,FW,0,0.0,0
Kimmo Timonen (D),Nashville Predators,72,6,34,40,0.56,46,-3,https://www.eliteprospects.com/player/2664/kimmo-timonen,2002-03,nhl,Kimmo Timonen,D,DEF,0,0.0,0
Brian Rafalski (D),New Jersey Devils,79,3,37,40,0.51,14,18,https://www.eliteprospects.com/player/1635/brian-rafalski,2002-03,nhl,Brian Rafalski,D,DEF,0,0.0,0
Tyler Arnason (C),Chicago Blackhawks,82,19,20,39,0.48,20,7,https://www.eliteprospects.com/player/4746/tyler-arnason,2002-03,nhl,Tyler Arnason,C,FW,0,0.0,0
Rick Nash (LW/RW),Columbus Blue Jackets,74,17,22,39,0.53,78,-27,https://www.eliteprospects.com/player/3658/rick-nash,2002-03,nhl,Rick Nash,LW/RW,FW,0,0.0,0
Stu Barnes (C),totals,81,13,26,39,0.48,28,-11,https://www.eliteprospects.com/player/9074/stu-barnes,2002-03,nhl,Stu Barnes,C,FW,0,0.0,0
Scott Niedermayer (D),New Jersey Devils,81,11,28,39,0.48,62,23,https://www.eliteprospects.com/player/8521/scott-niedermayer,2002-03,nhl,Scott Niedermayer,D,DEF,0,0.0,0
Kim Johnsson (D),Philadelphia Flyers,82,10,29,39,0.48,38,11,https://www.eliteprospects.com/player/698/kim-johnsson,2002-03,nhl,Kim Johnsson,D,DEF,0,0.0,0
Zdeno Chára (D),Ottawa Senators,74,9,30,39,0.53,116,29,https://www.eliteprospects.com/player/4530/zdeno-chara,2002-03,nhl,Zdeno Chára,D,DEF,0,0.0,0
Henrik Sedin (C),Vancouver Canucks,78,8,31,39,0.50,38,9,https://www.eliteprospects.com/player/738/henrik-sedin,2002-03,nhl,Henrik Sedin,C,FW,0,0.0,0
Mike Fisher (C),Ottawa Senators,74,18,20,38,0.51,54,13,https://www.eliteprospects.com/player/8771/mike-fisher,2002-03,nhl,Mike Fisher,C,FW,0,0.0,0
Jaroslav Modrý (D),Los Angeles Kings,82,13,25,38,0.46,68,-13,https://www.eliteprospects.com/player/8593/jaroslav-modry,2002-03,nhl,Jaroslav Modrý,D,DEF,0,0.0,0
Derek Armstrong (C),Los Angeles Kings,66,12,26,38,0.58,30,5,https://www.eliteprospects.com/player/8774/derek-armstrong,2002-03,nhl,Derek Armstrong,C,FW,0,0.0,0
Bryan Berard (D),Boston Bruins,80,10,28,38,0.48,64,-4,https://www.eliteprospects.com/player/9078/bryan-berard,2002-03,nhl,Bryan Berard,D,DEF,0,0.0,0
Petr Cajanek (C),St. Louis Blues,51,9,29,38,0.75,20,16,https://www.eliteprospects.com/player/8609/petr-cajanek,2002-03,nhl,Petr Cajanek,C,FW,0,0.0,0
Andreas Johansson (LW),Nashville Predators,56,20,17,37,0.66,22,-4,https://www.eliteprospects.com/player/696/andreas-johansson,2002-03,nhl,Andreas Johansson,LW,FW,Andreas Johansson,34.0,1
Ulf Dahlén (RW),Dallas Stars,63,17,20,37,0.59,14,11,https://www.eliteprospects.com/player/692/ulf-dahlen,2002-03,nhl,Ulf Dahlén,RW,FW,0,0.0,0
Rod Brind'Amour (C),Carolina Hurricanes,48,14,23,37,0.77,37,-9,https://www.eliteprospects.com/player/8784/rod-brind-amour,2002-03,nhl,Rod Brind'Amour,C,FW,0,0.0,0
Kirk Maltby (LW),Detroit Red Wings,82,14,23,37,0.45,91,17,https://www.eliteprospects.com/player/8954/kirk-maltby,2002-03,nhl,Kirk Maltby,LW,FW,0,0.0,0
Andrei Markov (D),Montréal Canadiens,79,13,24,37,0.47,34,13,https://www.eliteprospects.com/player/8579/andrei-markov,2002-03,nhl,Andrei Markov,D,DEF,0,0.0,0
Brent Sopel (D),Vancouver Canucks,81,7,30,37,0.46,23,-15,https://www.eliteprospects.com/player/10229/brent-sopel,2002-03,nhl,Brent Sopel,D,DEF,0,0.0,0
Per-Johan Axelsson (LW),Boston Bruins,66,17,19,36,0.55,24,8,https://www.eliteprospects.com/player/694/per-johan-axelsson,2002-03,nhl,Per-Johan Axelsson,LW,FW,0,0.0,0
Magnus Arvedson (LW),Ottawa Senators,80,16,20,36,0.45,48,13,https://www.eliteprospects.com/player/705/magnus-arvedson,2002-03,nhl,Magnus Arvedson,LW,FW,0,0.0,0
Matthew Barnaby (RW/LW),New York Rangers,79,14,22,36,0.46,142,9,https://www.eliteprospects.com/player/9073/matthew-barnaby,2002-03,nhl,Matthew Barnaby,RW/LW,FW,0,0.0,0
Darcy Tucker (LW),Toronto Maple Leafs,77,10,26,36,0.47,119,-7,https://www.eliteprospects.com/player/8859/darcy-tucker,2002-03,nhl,Darcy Tucker,LW,FW,Darcy Tucker,5.0,1
Darryl Sydor (D),Dallas Stars,81,5,31,36,0.44,40,22,https://www.eliteprospects.com/player/8899/darryl-sydor,2002-03,nhl,Darryl Sydor,D,DEF,0,0.0,0
Jaroslav Bednar (LW/RW),totals,82,5,31,36,0.44,22,1,https://www.eliteprospects.com/player/10863/jaroslav-bednar,2002-03,nhl,Jaroslav Bednar,LW/RW,FW,0,0.0,0
Ales Kotalik (RW/LW),Buffalo Sabres,68,21,14,35,0.51,30,-2,https://www.eliteprospects.com/player/8676/ales-kotalik,2002-03,nhl,Ales Kotalik,RW/LW,FW,0,0.0,0
Éric Bélanger (C),Los Angeles Kings,62,16,19,35,0.56,26,-5,https://www.eliteprospects.com/player/8758/eric-belanger,2002-03,nhl,Éric Bélanger,C,FW,0,0.0,0
Bobby Holík (C),New York Rangers,64,16,19,35,0.55,50,-1,https://www.eliteprospects.com/player/8545/bobby-holik,2002-03,nhl,Bobby Holík,C,FW,0,0.0,0
Radim Vrbata (RW),totals,76,16,19,35,0.46,18,-7,https://www.eliteprospects.com/player/8626/radim-vrbata,2002-03,nhl,Radim Vrbata,RW,FW,0,0.0,0
Mikael Renberg (RW),Toronto Maple Leafs,67,14,21,35,0.52,36,5,https://www.eliteprospects.com/player/734/mikael-renberg,2002-03,nhl,Mikael Renberg,RW,FW,Mikael Renberg,3.0,1
Jean-Pierre Dumont (RW),Buffalo Sabres,76,14,21,35,0.46,44,-14,https://www.eliteprospects.com/player/8783/jean-pierre-dumont,2002-03,nhl,Jean-Pierre Dumont,RW,FW,0,0.0,0
Kris Draper (C),Detroit Red Wings,82,14,21,35,0.43,82,6,https://www.eliteprospects.com/player/9142/kris-draper,2002-03,nhl,Kris Draper,C,FW,0,0.0,0
Dainius Zubrus (W/C),Washington Capitals,63,13,22,35,0.56,43,15,https://www.eliteprospects.com/player/8632/dainius-zubrus,2002-03,nhl,Dainius Zubrus,W/C,FW,0,0.0,0
Denis Arkhipov (C),Nashville Predators,79,11,24,35,0.44,32,-18,https://www.eliteprospects.com/player/9595/denis-arkhipov,2002-03,nhl,Denis Arkhipov,C,FW,0,0.0,0
Radek Dvorak (RW),totals,75,10,25,35,0.47,30,-6,https://www.eliteprospects.com/player/8599/radek-dvorak,2002-03,nhl,Radek Dvorak,RW,FW,0,0.0,0
Adrian Aucoin (D),New York Islanders,73,8,27,35,0.48,70,-5,https://www.eliteprospects.com/player/5530/adrian-aucoin,2002-03,nhl,Adrian Aucoin,D,DEF,0,0.0,0
Dave Andreychuk (LW),Tampa Bay Lightning,72,20,14,34,0.47,34,-12,https://www.eliteprospects.com/player/21425/dave-andreychuk,2002-03,nhl,Dave Andreychuk,LW,FW,0,0.0,0
Andy Delmore (D),Nashville Predators,71,18,16,34,0.48,28,-17,https://www.eliteprospects.com/player/11566/andy-delmore,2002-03,nhl,Andy Delmore,D,DEF,0,0.0,0
Arron Asham (RW),New York Islanders,78,15,19,34,0.44,57,1,https://www.eliteprospects.com/player/8791/arron-asham,2002-03,nhl,Arron Asham,RW,FW,0,0.0,0
Marcus Nilson (RW),Florida Panthers,82,15,19,34,0.41,31,2,https://www.eliteprospects.com/player/728/marcus-nilson,2002-03,nhl,Marcus Nilson,RW,FW,0,0.0,0
Patrik Stefan (C),Atlanta Thrashers,71,13,21,34,0.48,12,-10,https://www.eliteprospects.com/player/3666/patrik-stefan,2002-03,nhl,Patrik Stefan,C,FW,0,0.0,0
Jeff Halpern (C),Washington Capitals,82,13,21,34,0.41,88,6,https://www.eliteprospects.com/player/8776/jeff-halpern,2002-03,nhl,Jeff Halpern,C,FW,0,0.0,0
Scott Hartnell (LW),Nashville Predators,82,12,22,34,0.41,101,-3,https://www.eliteprospects.com/player/8764/scott-hartnell,2002-03,nhl,Scott Hartnell,LW,FW,Scott Hartnell,10.0,1
Mike Ricci (C),San Jose Sharks,75,11,23,34,0.45,53,-12,https://www.eliteprospects.com/player/8909/mike-ricci,2002-03,nhl,Mike Ricci,C,FW,0,0.0,0
Janne Niinimaa (D),totals,76,5,29,34,0.45,80,-9,https://www.eliteprospects.com/player/2658/janne-niinimaa,2002-03,nhl,Janne Niinimaa,D,DEF,0,0.0,0
Niko Kapanen (C),Dallas Stars,82,5,29,34,0.41,44,25,https://www.eliteprospects.com/player/2688/niko-kapanen,2002-03,nhl,Niko Kapanen,C,FW,0,0.0,0
Scott Walker (RW),Nashville Predators,60,15,18,33,0.55,58,2,https://www.eliteprospects.com/player/8801/scott-walker,2002-03,nhl,Scott Walker,RW,FW,0,0.0,0
Matt Cullen (C),totals,80,13,20,33,0.41,34,-8,https://www.eliteprospects.com/player/8754/matt-cullen,2002-03,nhl,Matt Cullen,C,FW,0,0.0,0
Theo Fleury (RW),Chicago Blackhawks,54,12,21,33,0.61,77,-7,https://www.eliteprospects.com/player/21306/theo-fleury,2002-03,nhl,Theo Fleury,RW,FW,0,0.0,0
Shawn Horcoff (C),Edmonton Oilers,78,12,21,33,0.42,55,10,https://www.eliteprospects.com/player/4375/shawn-horcoff,2002-03,nhl,Shawn Horcoff,C,FW,0,0.0,0
Niclas Hävelid (D),Mighty Ducks of Anaheim,82,11,22,33,0.40,30,5,https://www.eliteprospects.com/player/713/niclas-havelid,2002-03,nhl,Niclas Hävelid,D,DEF,0,0.0,0
Alexander Khavanov (D),St. Louis Blues,81,8,25,33,0.41,48,-1,https://www.eliteprospects.com/player/8659/alexander-khavanov,2002-03,nhl,Alexander Khavanov,D,DEF,0,0.0,0
Ruslan Fedotenko (LW/RW),Tampa Bay Lightning,76,19,13,32,0.42,44,-7,https://www.eliteprospects.com/player/8638/ruslan-fedotenko,2002-03,nhl,Ruslan Fedotenko,LW/RW,FW,0,0.0,0
Vladimír Országh (RW),Nashville Predators,78,16,16,32,0.41,38,-1,https://www.eliteprospects.com/player/1648/vladimir-orszagh,2002-03,nhl,Vladimír Országh,RW,FW,0,0.0,0
Mike Grier (RW),Washington Capitals,82,15,17,32,0.39,36,-14,https://www.eliteprospects.com/player/9171/mike-grier,2002-03,nhl,Mike Grier,RW,FW,0,0.0,0
Jonas Höglund (RW),Toronto Maple Leafs,79,13,19,32,0.41,12,2,https://www.eliteprospects.com/player/468/jonas-hoglund,2002-03,nhl,Jonas Höglund,RW,FW,0,0.0,0
Wes Walz (C),Minnesota Wild,80,13,19,32,0.40,63,11,https://www.eliteprospects.com/player/8803/wes-walz,2002-03,nhl,Wes Walz,C,FW,0,0.0,0
Shaun Van Allen (C),Ottawa Senators,78,12,20,32,0.41,66,17,https://www.eliteprospects.com/player/42653/shaun-van-allen,2002-03,nhl,Shaun Van Allen,C,FW,0,0.0,0
Grant Marshall (RW),totals,76,9,23,32,0.42,78,-11,https://www.eliteprospects.com/player/8967/grant-marshall,2002-03,nhl,Grant Marshall,RW,FW,0,0.0,0
Éric Desjardins (D),Philadelphia Flyers,79,8,24,32,0.41,35,30,https://www.eliteprospects.com/player/9133/eric-desjardins,2002-03,nhl,Éric Desjardins,D,DEF,0,0.0,0
Greg de Vries (D),Colorado Avalanche,82,6,26,32,0.39,70,15,https://www.eliteprospects.com/player/8557/greg-de-vries,2002-03,nhl,Greg de Vries,D,DEF,0,0.0,0
Curtis Brown (C/LW),Buffalo Sabres,74,15,16,31,0.42,40,4,https://www.eliteprospects.com/player/9098/curtis-brown,2002-03,nhl,Curtis Brown,C/LW,FW,0,0.0,0
Antti Laaksonen (LW),Minnesota Wild,82,15,16,31,0.38,26,4,https://www.eliteprospects.com/player/2675/antti-laaksonen,2002-03,nhl,Antti Laaksonen,LW,FW,0,0.0,0
Ethan Moreau (LW),Edmonton Oilers,78,14,17,31,0.40,112,-7,https://www.eliteprospects.com/player/8703/ethan-moreau,2002-03,nhl,Ethan Moreau,LW,FW,0,0.0,0
Daniel Sedin (LW),Vancouver Canucks,79,14,17,31,0.39,34,8,https://www.eliteprospects.com/player/737/daniel-sedin,2002-03,nhl,Daniel Sedin,LW,FW,0,0.0,0
Alexander Frolov (LW),Los Angeles Kings,79,14,17,31,0.39,34,12,https://www.eliteprospects.com/player/8591/alexander-frolov,2002-03,nhl,Alexander Frolov,LW,FW,0,0.0,0
Rem Murray (C),totals,85,12,19,31,0.36,22,-2,https://www.eliteprospects.com/player/9668/rem-murray,2002-03,nhl,Rem Murray,C,FW,0,0.0,0
Marty Reasoner (C),Edmonton Oilers,70,11,20,31,0.44,28,19,https://www.eliteprospects.com/player/8708/marty-reasoner,2002-03,nhl,Marty Reasoner,C,FW,0,0.0,0
Adam Foote (D),Colorado Avalanche,78,11,20,31,0.40,88,30,https://www.eliteprospects.com/player/9157/adam-foote,2002-03,nhl,Adam Foote,D,DEF,0,0.0,0
Luc Robitaille (LW),Detroit Red Wings,81,11,20,31,0.38,50,4,https://www.eliteprospects.com/player/21334/luc-robitaille,2002-03,nhl,Luc Robitaille,LW,FW,0,0.0,0
Sami Kapanen (LW),totals,71,10,21,31,0.44,18,-18,https://www.eliteprospects.com/player/2657/sami-kapanen,2002-03,nhl,Sami Kapanen,LW,FW,0,0.0,0
Dallas Drake (LW),St. Louis Blues,80,20,10,30,0.38,66,-7,https://www.eliteprospects.com/player/9141/dallas-drake,2002-03,nhl,Dallas Drake,LW,FW,Dallas Drake,2.0,1
Pavel Bure (RW),New York Rangers,39,19,11,30,0.77,16,4,https://www.eliteprospects.com/player/16140/pavel-bure,2002-03,nhl,Pavel Bure,RW,FW,0,0.0,0
Tyler Wright (C),Columbus Blue Jackets,70,19,11,30,0.43,113,-25,https://www.eliteprospects.com/player/9669/tyler-wright,2002-03,nhl,Tyler Wright,C,FW,0,0.0,0
Martin Rucinsky (LW),St. Louis Blues,61,16,14,30,0.49,38,-1,https://www.eliteprospects.com/player/8688/martin-rucinsky,2002-03,nhl,Martin Rucinsky,LW,FW,0,0.0,0
Steve Konowalchuk (LW),Washington Capitals,77,15,15,30,0.39,71,3,https://www.eliteprospects.com/player/9020/steve-konowalchuk,2002-03,nhl,Steve Konowalchuk,LW,FW,0,0.0,0
Steve Thomas (RW),totals,81,14,16,30,0.37,53,10,https://www.eliteprospects.com/player/30687/steve-thomas,2002-03,nhl,Steve Thomas,RW,FW,0,0.0,0
Brian Leetch (D),New York Rangers,51,12,18,30,0.59,20,-3,https://www.eliteprospects.com/player/8994/brian-leetch,2002-03,nhl,Brian Leetch,D,DEF,0,0.0,0
Stanislav Chistov (LW),Mighty Ducks of Anaheim,79,12,18,30,0.38,54,4,https://www.eliteprospects.com/player/8520/stanislav-chistov,2002-03,nhl,Stanislav Chistov,LW,FW,0,0.0,0
Doug Gilmour (C),totals,62,11,19,30,0.48,36,-6,https://www.eliteprospects.com/player/20597/doug-gilmour,2002-03,nhl,Doug Gilmour,C,FW,0,0.0,0
Sami Salo (D),Vancouver Canucks,79,9,21,30,0.38,10,9,https://www.eliteprospects.com/player/2672/sami-salo,2002-03,nhl,Sami Salo,D,DEF,0,0.0,0
Yannick Tremblay (D),Atlanta Thrashers,75,8,22,30,0.40,32,-27,https://www.eliteprospects.com/player/11032/yannick-tremblay,2002-03,nhl,Yannick Tremblay,D,DEF,0,0.0,0
Derian Hatcher (D),Dallas Stars,82,8,22,30,0.37,106,37,https://www.eliteprospects.com/player/8842/derian-hatcher,2002-03,nhl,Derian Hatcher,D,DEF,0,0.0,0
Ales Hemsky (RW),Edmonton Oilers,59,6,24,30,0.51,14,5,https://www.eliteprospects.com/player/8600/ales-hemsky,2002-03,nhl,Ales Hemsky,RW,FW,0,0.0,0
Teppo Numminen (D),Phoenix Coyotes,78,6,24,30,0.38,30,0,https://www.eliteprospects.com/player/2684/teppo-numminen,2002-03,nhl,Teppo Numminen,D,DEF,0,0.0,0
Trent Klatt (RW),Vancouver Canucks,82,16,13,29,0.35,8,10,https://www.eliteprospects.com/player/69566/trent-klatt,2002-03,nhl,Trent Klatt,RW,FW,0,0.0,0
Tie Domi (RW),Toronto Maple Leafs,79,15,14,29,0.37,171,-1,https://www.eliteprospects.com/player/9138/tie-domi,2002-03,nhl,Tie Domi,RW,FW,0,0.0,0
Mark Bell (C/LW),Chicago Blackhawks,82,14,15,29,0.35,113,0,https://www.eliteprospects.com/player/8765/mark-bell,2002-03,nhl,Mark Bell,C/LW,FW,0,0.0,0
Filip Kuba (D),Minnesota Wild,78,8,21,29,0.37,29,0,https://www.eliteprospects.com/player/8639/filip-kuba,2002-03,nhl,Filip Kuba,D,DEF,0,0.0,0
Eric Brewer (D),Edmonton Oilers,80,8,21,29,0.36,45,-11,https://www.eliteprospects.com/player/9095/eric-brewer,2002-03,nhl,Eric Brewer,D,DEF,0,0.0,0
Mike Rathje (D),San Jose Sharks,82,7,22,29,0.35,48,-19,https://www.eliteprospects.com/player/8844/mike-rathje,2002-03,nhl,Mike Rathje,D,DEF,Mike Rathje,1.0,1
Phil Housley (D),totals,58,6,23,29,0.50,26,6,https://www.eliteprospects.com/player/21377/phil-housley,2002-03,nhl,Phil Housley,D,DEF,0,0.0,0
Sean Hill (D),Carolina Hurricanes,82,5,24,29,0.35,141,4,https://www.eliteprospects.com/player/9054/sean-hill,2002-03,nhl,Sean Hill,D,DEF,0,0.0,0
Karel Rachunek (D),Ottawa Senators,58,4,25,29,0.50,30,23,https://www.eliteprospects.com/player/9629/karel-rachunek,2002-03,nhl,Karel Rachunek,D,DEF,0,0.0,0
Patrice Brisebois (D),Montréal Canadiens,73,4,25,29,0.40,32,-14,https://www.eliteprospects.com/player/8781/patrice-brisebois,2002-03,nhl,Patrice Brisebois,D,DEF,0,0.0,0
Mattias Öhlund (D),Vancouver Canucks,59,2,27,29,0.49,42,1,https://www.eliteprospects.com/player/749/mattias-ohlund,2002-03,nhl,Mattias Öhlund,D,DEF,0,0.0,0
John LeClair (LW),Philadelphia Flyers,35,18,10,28,0.80,16,10,https://www.eliteprospects.com/player/8992/john-leclair,2002-03,nhl,John LeClair,LW,FW,0,0.0,0
Adam Hall (RW),Nashville Predators,79,16,12,28,0.35,31,-8,https://www.eliteprospects.com/player/8724/adam-hall,2002-03,nhl,Adam Hall,RW,FW,0,0.0,0
Taylor Pyatt (LW),Buffalo Sabres,78,14,14,28,0.36,38,-8,https://www.eliteprospects.com/player/5372/taylor-pyatt,2002-03,nhl,Taylor Pyatt,LW,FW,0,0.0,0
Brad Isbister (LW),totals,66,13,15,28,0.42,43,-9,https://www.eliteprospects.com/player/8705/brad-isbister,2002-03,nhl,Brad Isbister,LW,FW,0,0.0,0
Mike Leclerc (LW),Mighty Ducks of Anaheim,57,9,19,28,0.49,34,-8,https://www.eliteprospects.com/player/8993/mike-leclerc,2002-03,nhl,Mike Leclerc,LW,FW,0,0.0,0
Jason Wiemer (C),New York Islanders,81,9,19,28,0.35,116,5,https://www.eliteprospects.com/player/8827/jason-wiemer,2002-03,nhl,Jason Wiemer,C,FW,0,0.0,0
Jason Allison (C),Los Angeles Kings,26,6,22,28,1.08,22,9,https://www.eliteprospects.com/player/9064/jason-allison,2002-03,nhl,Jason Allison,C,FW,Jason Allison,82.0,1
Valeri Bure (RW),totals,51,5,23,28,0.55,10,-13,https://www.eliteprospects.com/player/9675/valeri-bure,2002-03,nhl,Valeri Bure,RW,FW,0,0.0,0
Nathan Dempsey (D),Chicago Blackhawks,67,5,23,28,0.42,26,-7,https://www.eliteprospects.com/player/8741/nathan-dempsey,2002-03,nhl,Nathan Dempsey,D,DEF,Nathan Dempsey,3.0,1
Erik Cole (LW),Carolina Hurricanes,53,14,13,27,0.51,72,1,https://www.eliteprospects.com/player/8732/erik-cole,2002-03,nhl,Erik Cole,LW,FW,0,0.0,0
Branko Radivojevic (RW),Phoenix Coyotes,79,12,15,27,0.34,63,-2,https://www.eliteprospects.com/player/5676/branko-radivojevic,2002-03,nhl,Branko Radivojevic,RW,FW,0,0.0,0
Ivan Novoseltsev (LW),Florida Panthers,78,10,17,27,0.35,30,-16,https://www.eliteprospects.com/player/12236/ivan-novoseltsev,2002-03,nhl,Ivan Novoseltsev,LW,FW,Ivan Novoseltsev,19.0,1
Simon Gagné (LW),Philadelphia Flyers,46,9,18,27,0.59,16,20,https://www.eliteprospects.com/player/8828/simon-gagne,2002-03,nhl,Simon Gagné,LW,FW,0,0.0,0
Oleg Petrov (LW),totals,70,9,18,27,0.39,18,-6,https://www.eliteprospects.com/player/10844/oleg-petrov,2002-03,nhl,Oleg Petrov,LW,FW,0,0.0,0
Philippe Boucher (D),Dallas Stars,80,7,20,27,0.34,94,28,https://www.eliteprospects.com/player/9087/philippe-boucher,2002-03,nhl,Philippe Boucher,D,DEF,Philippe Boucher,9.0,1
Oleg Kvasha (LW),New York Islanders,69,12,14,26,0.38,44,4,https://www.eliteprospects.com/player/8587/oleg-kvasha,2002-03,nhl,Oleg Kvasha,LW,FW,Oleg Kvasha,1.0,1
Marty Murray (C),Philadelphia Flyers,76,11,15,26,0.34,13,-1,https://www.eliteprospects.com/player/8835/marty-murray,2002-03,nhl,Marty Murray,C,FW,0,0.0,0
Shawn McEachern (LW),Atlanta Thrashers,46,10,16,26,0.57,28,-27,https://www.eliteprospects.com/player/5675/shawn-mceachern,2002-03,nhl,Shawn McEachern,LW,FW,0,0.0,0
Jochen Hecht (C/LW),Buffalo Sabres,49,10,16,26,0.53,30,4,https://www.eliteprospects.com/player/8674/jochen-hecht,2002-03,nhl,Jochen Hecht,C/LW,FW,0,0.0,0
Jan Hlavac (LW/RW),totals,61,10,16,26,0.43,28,-10,https://www.eliteprospects.com/player/8709/jan-hlavac,2002-03,nhl,Jan Hlavac,LW/RW,FW,0,0.0,0
Tony Hrkac (C),Atlanta Thrashers,80,9,17,26,0.33,14,-16,https://www.eliteprospects.com/player/33755/tony-hrkac,2002-03,nhl,Tony Hrkac,C,FW,0,0.0,0
Kenny Jönsson (D),New York Islanders,71,8,18,26,0.37,24,-8,https://www.eliteprospects.com/player/717/kenny-jonsson,2002-03,nhl,Kenny Jönsson,D,DEF,0,0.0,0
Frantisek Kaberle (D),Atlanta Thrashers,79,7,19,26,0.33,32,-19,https://www.eliteprospects.com/player/1919/frantisek-kaberle,2002-03,nhl,Frantisek Kaberle,D,DEF,0,0.0,0
Niklas Sundström (C),totals,80,7,19,26,0.33,30,-1,https://www.eliteprospects.com/player/740/niklas-sundstrom,2002-03,nhl,Niklas Sundström,C,FW,0,0.0,0
Jason Woolley (D),totals,76,6,20,26,0.34,51,11,https://www.eliteprospects.com/player/8833/jason-woolley,2002-03,nhl,Jason Woolley,D,DEF,0,0.0,0
Toni Lydman (D),Calgary Flames,81,6,20,26,0.32,28,-7,https://www.eliteprospects.com/player/2678/toni-lydman,2002-03,nhl,Toni Lydman,D,DEF,Toni Lydman,10.0,1
Steve Staios (D),Edmonton Oilers,76,5,21,26,0.34,96,13,https://www.eliteprospects.com/player/5677/steve-staios,2002-03,nhl,Steve Staios,D,DEF,0,0.0,0
Brian Gionta (RW),New Jersey Devils,58,12,13,25,0.43,23,5,https://www.eliteprospects.com/player/9048/brian-gionta,2002-03,nhl,Brian Gionta,RW,FW,Brian Gionta,7.0,1
Tim Connolly (C),Buffalo Sabres,80,12,13,25,0.31,32,-28,https://www.eliteprospects.com/player/8775/tim-connolly,2002-03,nhl,Tim Connolly,C,FW,Tim Connolly,82.0,1
Trevor Letowski (RW),Vancouver Canucks,78,11,14,25,0.32,36,8,https://www.eliteprospects.com/player/8777/trevor-letowski,2002-03,nhl,Trevor Letowski,RW,FW,0,0.0,0
Jason Krog (C),Mighty Ducks of Anaheim,67,10,15,25,0.37,12,1,https://www.eliteprospects.com/player/7305/jason-krog,2002-03,nhl,Jason Krog,C,FW,0,0.0,0
Paul Mara (D),Phoenix Coyotes,73,10,15,25,0.34,78,-7,https://www.eliteprospects.com/player/8566/paul-mara,2002-03,nhl,Paul Mara,D,DEF,0,0.0,0
Stéphane Yelle (C),Calgary Flames,82,10,15,25,0.30,50,-10,https://www.eliteprospects.com/player/8795/stephane-yelle,2002-03,nhl,Stéphane Yelle,C,FW,0,0.0,0
Alexei Morozov (RW),Pittsburgh Penguins,27,9,16,25,0.93,16,-3,https://www.eliteprospects.com/player/11044/alexei-morozov,2002-03,nhl,Alexei Morozov,RW,FW,0,0.0,0
Alyn McCauley (C/LW),totals,80,9,16,25,0.31,20,1,https://www.eliteprospects.com/player/8974/alyn-mccauley,2002-03,nhl,Alyn McCauley,C/LW,FW,0,0.0,0
Jim Dowd (C),Minnesota Wild,78,8,17,25,0.32,31,-1,https://www.eliteprospects.com/player/8739/jim-dowd,2002-03,nhl,Jim Dowd,C,FW,0,0.0,0
Donald Brashear (LW),Philadelphia Flyers,80,8,17,25,0.31,161,5,https://www.eliteprospects.com/player/9094/donald-brashear,2002-03,nhl,Donald Brashear,LW,FW,0,0.0,0
Andreas Dackell (LW),Montréal Canadiens,73,7,18,25,0.34,24,-5,https://www.eliteprospects.com/player/709/andreas-dackell,2002-03,nhl,Andreas Dackell,LW,FW,0,0.0,0
Bates Battaglia (LW),totals,83,6,19,25,0.30,100,-19,https://www.eliteprospects.com/player/10213/bates-battaglia,2002-03,nhl,Bates Battaglia,LW,FW,0,0.0,0
Martin Skoula (D),Colorado Avalanche,81,4,21,25,0.31,68,11,https://www.eliteprospects.com/player/8598/martin-skoula,2002-03,nhl,Martin Skoula,D,DEF,0,0.0,0
Richard Park (RW/C),Minnesota Wild,81,14,10,24,0.30,16,-3,https://www.eliteprospects.com/player/5214/richard-park,2002-03,nhl,Richard Park,RW/C,FW,0,0.0,0
Travis Green (C),Toronto Maple Leafs,75,12,12,24,0.32,67,2,https://www.eliteprospects.com/player/9168/travis-green,2002-03,nhl,Travis Green,C,FW,0,0.0,0
