player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
Keith Yandle (D),Phoenix Coyotes,82,11,32,43,0.52,51,5,https://www.eliteprospects.com/player/10247/keith-yandle,2011-12,nhl,Keith Yandle,D,DEF,0,0.0,0
Kevin Shattenkirk (D),St. Louis Blues,81,9,34,43,0.53,60,20,https://www.eliteprospects.com/player/11460/kevin-shattenkirk,2011-12,nhl,Kevin Shattenkirk,D,DEF,0,0.0,0
Kimmo Timonen (D),Philadelphia Flyers,76,4,39,43,0.57,46,8,https://www.eliteprospects.com/player/2664/kimmo-timonen,2011-12,nhl,Kimmo Timonen,D,DEF,0,0.0,0
David Perron (LW/RW),St. Louis Blues,57,21,21,42,0.74,28,19,https://www.eliteprospects.com/player/11123/david-perron,2011-12,nhl,David Perron,LW/RW,FW,0,0.0,0
Rich Peverley (C),Boston Bruins,57,11,31,42,0.74,22,20,https://www.eliteprospects.com/player/11017/rich-peverley,2011-12,nhl,Rich Peverley,C,FW,0,0.0,0
Kris Letang (D),Pittsburgh Penguins,51,10,32,42,0.82,34,21,https://www.eliteprospects.com/player/9189/kris-letang,2011-12,nhl,Kris Letang,D,DEF,0,0.0,0
Michael Cammalleri (W/C),totals,66,20,21,41,0.62,26,-10,https://www.eliteprospects.com/player/9104/michael-cammalleri,2011-12,nhl,Michael Cammalleri,W/C,FW,0,0.0,0
Cody Hodgson (C),totals,83,19,22,41,0.49,10,1,https://www.eliteprospects.com/player/11253/cody-hodgson,2011-12,nhl,Cody Hodgson,C,FW,0,0.0,0
Brooks Laich (C/LW),Washington Capitals,82,16,25,41,0.50,34,-8,https://www.eliteprospects.com/player/9518/brooks-laich,2011-12,nhl,Brooks Laich,C/LW,FW,0,0.0,0
Derick Brassard (C/LW),Columbus Blue Jackets,74,14,27,41,0.55,42,-20,https://www.eliteprospects.com/player/9366/derick-brassard,2011-12,nhl,Derick Brassard,C/LW,FW,0,0.0,0
Steve Downie (RW),totals,75,14,27,41,0.55,137,-6,https://www.eliteprospects.com/player/9186/steve-downie,2011-12,nhl,Steve Downie,RW,FW,0,0.0,0
Michael Del Zotto (D),New York Rangers,77,10,31,41,0.53,36,20,https://www.eliteprospects.com/player/12112/michael-del-zotto,2011-12,nhl,Michael Del Zotto,D,DEF,0,0.0,0
R.J. Umberger (C/W),Columbus Blue Jackets,77,20,20,40,0.52,27,-10,https://www.eliteprospects.com/player/8820/r.j.-umberger,2011-12,nhl,R.J. Umberger,C/W,FW,0,0.0,0
Duncan Keith (D),Chicago Blackhawks,74,4,36,40,0.54,42,15,https://www.eliteprospects.com/player/9012/duncan-keith,2011-12,nhl,Duncan Keith,D,DEF,0,0.0,0
Chris Kelly (C/LW),Boston Bruins,82,20,19,39,0.48,41,33,https://www.eliteprospects.com/player/9013/chris-kelly,2011-12,nhl,Chris Kelly,C/LW,FW,0,0.0,0
Jason Chimera (LW/RW),Washington Capitals,82,20,19,39,0.48,78,4,https://www.eliteprospects.com/player/8762/jason-chimera,2011-12,nhl,Jason Chimera,LW/RW,FW,0,0.0,0
Jannik Hansen (RW/LW),Vancouver Canucks,82,16,23,39,0.48,34,18,https://www.eliteprospects.com/player/2368/jannik-hansen,2011-12,nhl,Jannik Hansen,RW/LW,FW,0,0.0,0
Steve Ott (C/W),Dallas Stars,74,11,28,39,0.53,156,5,https://www.eliteprospects.com/player/8944/steve-ott,2011-12,nhl,Steve Ott,C/W,FW,0,0.0,0
Patrik Berglund (C),St. Louis Blues,82,19,19,38,0.46,30,4,https://www.eliteprospects.com/player/3637/patrik-berglund,2011-12,nhl,Patrik Berglund,C,FW,0,0.0,0
Matt Cooke (LW),Pittsburgh Penguins,82,19,19,38,0.46,44,5,https://www.eliteprospects.com/player/8549/matt-cooke,2011-12,nhl,Matt Cooke,LW,FW,0,0.0,0
Carl Hagelin (LW),New York Rangers,64,14,24,38,0.59,24,21,https://www.eliteprospects.com/player/4567/carl-hagelin,2011-12,nhl,Carl Hagelin,LW,FW,0,0.0,0
Todd Bertuzzi (RW/LW),Detroit Red Wings,71,14,24,38,0.54,64,23,https://www.eliteprospects.com/player/9081/todd-bertuzzi,2011-12,nhl,Todd Bertuzzi,RW/LW,FW,0,0.0,0
Jack Johnson (D),totals,82,12,26,38,0.46,39,-7,https://www.eliteprospects.com/player/9205/jack-johnson,2011-12,nhl,Jack Johnson,D,DEF,0,0.0,0
Saku Koivu (C),Anaheim Ducks,74,11,27,38,0.51,50,7,https://www.eliteprospects.com/player/2669/saku-koivu,2011-12,nhl,Saku Koivu,C,FW,0,0.0,0
Matt Carle (D),Philadelphia Flyers,82,4,34,38,0.46,36,4,https://www.eliteprospects.com/player/9108/matt-carle,2011-12,nhl,Matt Carle,D,DEF,0,0.0,0
David Jones (RW),Colorado Avalanche,72,20,17,37,0.51,32,-8,https://www.eliteprospects.com/player/11426/david-jones,2011-12,nhl,David Jones,RW,FW,0,0.0,0
Jamie McGinn (LW),totals,78,20,17,37,0.47,37,-3,https://www.eliteprospects.com/player/9336/jamie-mcginn,2011-12,nhl,Jamie McGinn,LW,FW,0,0.0,0
Dave Bolland (C/RW),Chicago Blackhawks,76,19,18,37,0.49,47,0,https://www.eliteprospects.com/player/9193/dave-bolland,2011-12,nhl,Dave Bolland,C/RW,FW,0,0.0,0
Lauri Korpikoski (LW/RW),Phoenix Coyotes,82,17,20,37,0.45,14,3,https://www.eliteprospects.com/player/4219/lauri-korpikoski,2011-12,nhl,Lauri Korpikoski,LW/RW,FW,0,0.0,0
Colin Greening (C/LW),Ottawa Senators,82,17,20,37,0.45,46,-4,https://www.eliteprospects.com/player/15312/colin-greening,2011-12,nhl,Colin Greening,C/LW,FW,0,0.0,0
Milan Hejduk (RW),Colorado Avalanche,81,14,23,37,0.46,14,-12,https://www.eliteprospects.com/player/8603/milan-hejduk,2011-12,nhl,Milan Hejduk,RW,FW,0,0.0,0
Brent Burns (D),San Jose Sharks,81,11,26,37,0.46,34,8,https://www.eliteprospects.com/player/9103/brent-burns,2011-12,nhl,Brent Burns,D,DEF,0,0.0,0
Antoine Vermette (C),totals,82,11,26,37,0.45,28,-13,https://www.eliteprospects.com/player/8840/antoine-vermette,2011-12,nhl,Antoine Vermette,C,FW,0,0.0,0
Sidney Crosby (C),Pittsburgh Penguins,22,8,29,37,1.68,14,15,https://www.eliteprospects.com/player/6146/sidney-crosby,2011-12,nhl,Sidney Crosby,C,FW,Sidney Crosby,12.0,1
Sergei Gonchar (D),Ottawa Senators,74,5,32,37,0.50,55,-4,https://www.eliteprospects.com/player/8678/sergei-gonchar,2011-12,nhl,Sergei Gonchar,D,DEF,0,0.0,0
Dan Hamhuis (D),Vancouver Canucks,82,4,33,37,0.45,46,29,https://www.eliteprospects.com/player/9040/dan-hamhuis,2011-12,nhl,Dan Hamhuis,D,DEF,0,0.0,0
Nick Leddy (D),Chicago Blackhawks,82,3,34,37,0.45,10,-12,https://www.eliteprospects.com/player/38067/nick-leddy,2011-12,nhl,Nick Leddy,D,DEF,0,0.0,0
Devin Setoguchi (RW),Minnesota Wild,69,19,17,36,0.52,28,-17,https://www.eliteprospects.com/player/9360/devin-setoguchi,2011-12,nhl,Devin Setoguchi,RW,FW,0,0.0,0
Jiri Tlusty (LW/RW),Carolina Hurricanes,79,17,19,36,0.46,26,1,https://www.eliteprospects.com/player/8605/jiri-tlusty,2011-12,nhl,Jiri Tlusty,LW/RW,FW,0,0.0,0
Andrei Kostitsyn (LW/RW),totals,72,16,20,36,0.50,26,-1,https://www.eliteprospects.com/player/6666/andrei-kostitsyn,2011-12,nhl,Andrei Kostitsyn,LW/RW,FW,0,0.0,0
Artyom Anisimov (C),New York Rangers,79,16,20,36,0.46,34,12,https://www.eliteprospects.com/player/9300/artyom-anisimov,2011-12,nhl,Artyom Anisimov,C,FW,0,0.0,0
Niklas Kronwall (D),Detroit Red Wings,82,15,21,36,0.44,38,-2,https://www.eliteprospects.com/player/69/niklas-kronwall,2011-12,nhl,Niklas Kronwall,D,DEF,0,0.0,0
Craig Smith (RW/C),Nashville Predators,72,14,22,36,0.50,30,-9,https://www.eliteprospects.com/player/27038/craig-smith,2011-12,nhl,Craig Smith,RW/C,FW,0,0.0,0
Tim Connolly (C),Toronto Maple Leafs,70,13,23,36,0.51,40,-14,https://www.eliteprospects.com/player/8775/tim-connolly,2011-12,nhl,Tim Connolly,C,FW,0,0.0,0
Ales Hemsky (RW),Edmonton Oilers,69,10,26,36,0.52,43,-13,https://www.eliteprospects.com/player/8600/ales-hemsky,2011-12,nhl,Ales Hemsky,RW,FW,0,0.0,0
Drew Doughty (D),Los Angeles Kings,77,10,26,36,0.47,69,-2,https://www.eliteprospects.com/player/10430/drew-doughty,2011-12,nhl,Drew Doughty,D,DEF,0,0.0,0
P.K. Subban (D),Montréal Canadiens,81,7,29,36,0.44,119,9,https://www.eliteprospects.com/player/11251/p.k.-subban,2011-12,nhl,P.K. Subban,D,DEF,0,0.0,0
Colin Wilson (LW/C),Nashville Predators,68,15,20,35,0.51,21,5,https://www.eliteprospects.com/player/9325/colin-wilson,2011-12,nhl,Colin Wilson,LW/C,FW,0,0.0,0
Nikolai Antropov (C/RW),Winnipeg Jets,69,15,20,35,0.51,42,0,https://www.eliteprospects.com/player/8657/nikolai-antropov,2011-12,nhl,Nikolai Antropov,C/RW,FW,0,0.0,0
Matt Cullen (C),Minnesota Wild,73,14,21,35,0.48,24,-10,https://www.eliteprospects.com/player/8754/matt-cullen,2011-12,nhl,Matt Cullen,C,FW,0,0.0,0
Jeff Carter (C),totals,55,21,13,34,0.62,16,-12,https://www.eliteprospects.com/player/8813/jeff-carter,2011-12,nhl,Jeff Carter,C,FW,0,0.0,0
Maxime Talbot (C/W),Philadelphia Flyers,81,19,15,34,0.42,59,5,https://www.eliteprospects.com/player/9511/maxime-talbot,2011-12,nhl,Maxime Talbot,C/W,FW,0,0.0,0
Tuomo Ruutu (LW/RW),Carolina Hurricanes,72,18,16,34,0.47,50,-3,https://www.eliteprospects.com/player/2695/tuomo-ruutu,2011-12,nhl,Tuomo Ruutu,LW/RW,FW,0,0.0,0
Jason Arnott (C),St. Louis Blues,72,17,17,34,0.47,26,13,https://www.eliteprospects.com/player/9068/jason-arnott,2011-12,nhl,Jason Arnott,C,FW,0,0.0,0
Tyler Ennis (RW/LW),Buffalo Sabres,48,15,19,34,0.71,14,11,https://www.eliteprospects.com/player/11667/tyler-ennis,2011-12,nhl,Tyler Ennis,RW/LW,FW,Tyler Ennis,1.0,1
Shawn Horcoff (C),Edmonton Oilers,81,13,21,34,0.42,24,-23,https://www.eliteprospects.com/player/4375/shawn-horcoff,2011-12,nhl,Shawn Horcoff,C,FW,0,0.0,0
Nicklas Lidström (D),Detroit Red Wings,70,11,23,34,0.49,28,21,https://www.eliteprospects.com/player/722/nicklas-lidstrom,2011-12,nhl,Nicklas Lidström,D,DEF,0,0.0,0
Brandon Dubinsky (C/LW),New York Rangers,77,10,24,34,0.44,110,16,https://www.eliteprospects.com/player/11024/brandon-dubinsky,2011-12,nhl,Brandon Dubinsky,C/LW,FW,0,0.0,0
Brent Seabrook (D),Chicago Blackhawks,78,9,25,34,0.44,22,21,https://www.eliteprospects.com/player/8879/brent-seabrook,2011-12,nhl,Brent Seabrook,D,DEF,0,0.0,0
Martin Hanzal (C),Phoenix Coyotes,64,8,26,34,0.53,63,12,https://www.eliteprospects.com/player/9237/martin-hanzal,2011-12,nhl,Martin Hanzal,C,FW,0,0.0,0
Troy Brouwer (RW/LW),Washington Capitals,82,18,15,33,0.40,61,-15,https://www.eliteprospects.com/player/10669/troy-brouwer,2011-12,nhl,Troy Brouwer,RW/LW,FW,0,0.0,0
Ryan Jones (LW/RW),Edmonton Oilers,79,17,16,33,0.42,42,-7,https://www.eliteprospects.com/player/11410/ryan-jones,2011-12,nhl,Ryan Jones,LW/RW,FW,Ryan Jones,16.0,1
Jason Garrison (D),Florida Panthers,77,16,17,33,0.43,32,6,https://www.eliteprospects.com/player/24173/jason-garrison,2011-12,nhl,Jason Garrison,D,DEF,0,0.0,0
Alexei Ponikarovsky (LW),totals,82,14,19,33,0.40,34,-3,https://www.eliteprospects.com/player/8658/alexei-ponikarovsky,2011-12,nhl,Alexei Ponikarovsky,LW,FW,0,0.0,0
Daniel Cleary (RW/LW),Detroit Red Wings,75,12,21,33,0.44,30,2,https://www.eliteprospects.com/player/4376/daniel-cleary,2011-12,nhl,Daniel Cleary,RW/LW,FW,0,0.0,0
Tyler Kennedy (C/RW),Pittsburgh Penguins,60,11,22,33,0.55,29,10,https://www.eliteprospects.com/player/11535/tyler-kennedy,2011-12,nhl,Tyler Kennedy,C/RW,FW,0,0.0,0
Tobias Enström (D),Winnipeg Jets,62,6,27,33,0.53,38,6,https://www.eliteprospects.com/player/594/tobias-enstrom,2011-12,nhl,Tobias Enström,D,DEF,0,0.0,0
Michael Grabner (LW/RW),New York Islanders,78,20,12,32,0.41,12,-18,https://www.eliteprospects.com/player/8494/michael-grabner,2011-12,nhl,Michael Grabner,LW/RW,FW,0,0.0,0
Chad LaRose (RW/LW),Carolina Hurricanes,67,19,13,32,0.48,48,-15,https://www.eliteprospects.com/player/8990/chad-larose,2011-12,nhl,Chad LaRose,RW/LW,FW,Chad LaRose,10.0,1
Nathan Horton (RW),Boston Bruins,46,17,15,32,0.70,54,0,https://www.eliteprospects.com/player/3657/nathan-horton,2011-12,nhl,Nathan Horton,RW,FW,0,0.0,0
Brandon Sutter (C/RW),Carolina Hurricanes,82,17,15,32,0.39,21,-3,https://www.eliteprospects.com/player/9339/brandon-sutter,2011-12,nhl,Brandon Sutter,C/RW,FW,0,0.0,0
Benoît Pouliot (LW),Boston Bruins,74,16,16,32,0.43,38,18,https://www.eliteprospects.com/player/4229/benoit-pouliot,2011-12,nhl,Benoît Pouliot,LW,FW,0,0.0,0
Josh Bailey (RW/C),New York Islanders,80,13,19,32,0.40,32,-10,https://www.eliteprospects.com/player/14013/josh-bailey,2011-12,nhl,Josh Bailey,RW/C,FW,0,0.0,0
Oliver Ekman Larsson (D),Phoenix Coyotes,82,13,19,32,0.39,32,0,https://www.eliteprospects.com/player/7693/oliver-ekman-larsson,2011-12,nhl,Oliver Ekman Larsson,D,DEF,0,0.0,0
Tomas Kopecky (W/C),Florida Panthers,80,10,22,32,0.40,32,-8,https://www.eliteprospects.com/player/9642/tomas-kopecky,2011-12,nhl,Tomas Kopecky,W/C,FW,0,0.0,0
John Carlson (D),Washington Capitals,82,9,23,32,0.39,22,-15,https://www.eliteprospects.com/player/18590/john-carlson,2011-12,nhl,John Carlson,D,DEF,0,0.0,0
Nikita Nikitin (D),totals,61,7,25,32,0.52,18,-10,https://www.eliteprospects.com/player/12241/nikita-nikitin,2011-12,nhl,Nikita Nikitin,D,DEF,0,0.0,0
Ian White (D),Detroit Red Wings,77,7,25,32,0.42,22,23,https://www.eliteprospects.com/player/9519/ian-white,2011-12,nhl,Ian White,D,DEF,0,0.0,0
Ryan McDonagh (D),New York Rangers,82,7,25,32,0.39,44,25,https://www.eliteprospects.com/player/11458/ryan-mcdonagh,2011-12,nhl,Ryan McDonagh,D,DEF,Ryan McDonagh,1.0,1
Filip Kuba (D),Ottawa Senators,73,6,26,32,0.44,26,26,https://www.eliteprospects.com/player/8639/filip-kuba,2011-12,nhl,Filip Kuba,D,DEF,0,0.0,0
Christian Ehrhoff (D),Buffalo Sabres,66,5,27,32,0.48,47,-2,https://www.eliteprospects.com/player/8581/christian-ehrhoff,2011-12,nhl,Christian Ehrhoff,D,DEF,0,0.0,0
Mikael Samuelsson (RW),totals,54,14,17,31,0.57,20,1,https://www.eliteprospects.com/player/736/mikael-samuelsson,2011-12,nhl,Mikael Samuelsson,RW,FW,0,0.0,0
Tomas Kaberle (D),totals,72,3,28,31,0.43,12,-18,https://www.eliteprospects.com/player/8542/tomas-kaberle,2011-12,nhl,Tomas Kaberle,D,DEF,0,0.0,0
David Booth (LW/RW),totals,62,16,14,30,0.48,34,-5,https://www.eliteprospects.com/player/9402/david-booth,2011-12,nhl,David Booth,LW/RW,FW,0,0.0,0
Mathieu Perreault (C),Washington Capitals,64,16,14,30,0.47,24,9,https://www.eliteprospects.com/player/10441/mathieu-perreault,2011-12,nhl,Mathieu Perreault,C,FW,0,0.0,0
Chris Stewart (RW/LW),St. Louis Blues,79,15,15,30,0.38,109,1,https://www.eliteprospects.com/player/10442/chris-stewart,2011-12,nhl,Chris Stewart,RW/LW,FW,0,0.0,0
Daymond Langkow (C),Phoenix Coyotes,73,11,19,30,0.41,14,-4,https://www.eliteprospects.com/player/8986/daymond-langkow,2011-12,nhl,Daymond Langkow,C,FW,0,0.0,0
Alex Goligoski (D),Dallas Stars,71,9,21,30,0.42,16,0,https://www.eliteprospects.com/player/9435/alex-goligoski,2011-12,nhl,Alex Goligoski,D,DEF,0,0.0,0
Jake Gardiner (D),Toronto Maple Leafs,75,7,23,30,0.40,18,-2,https://www.eliteprospects.com/player/18592/jake-gardiner,2011-12,nhl,Jake Gardiner,D,DEF,Jake Gardiner,2.0,1
Jordin Tootoo (RW),Nashville Predators,77,6,24,30,0.39,92,-5,https://www.eliteprospects.com/player/9515/jordin-tootoo,2011-12,nhl,Jordin Tootoo,RW,FW,0,0.0,0
Zach Bogosian (D),Winnipeg Jets,65,5,25,30,0.46,71,-3,https://www.eliteprospects.com/player/14440/zach-bogosian,2011-12,nhl,Zach Bogosian,D,DEF,0,0.0,0
Kyle Turris (C/RW),totals,55,12,17,29,0.53,31,10,https://www.eliteprospects.com/player/11345/kyle-turris,2011-12,nhl,Kyle Turris,C/RW,FW,0,0.0,0
Cam Fowler (D),Anaheim Ducks,82,5,24,29,0.35,18,-28,https://www.eliteprospects.com/player/31261/cam-fowler,2011-12,nhl,Cam Fowler,D,DEF,0,0.0,0
Dan Girardi (D),New York Rangers,82,5,24,29,0.35,20,13,https://www.eliteprospects.com/player/11025/dan-girardi,2011-12,nhl,Dan Girardi,D,DEF,0,0.0,0
Jay Bouwmeester (D),Calgary Flames,82,5,24,29,0.35,26,-21,https://www.eliteprospects.com/player/3659/jay-bouwmeester,2011-12,nhl,Jay Bouwmeester,D,DEF,0,0.0,0
Lars Eller (C),Montréal Canadiens,79,16,12,28,0.35,66,-5,https://www.eliteprospects.com/player/5995/lars-eller,2011-12,nhl,Lars Eller,C,FW,0,0.0,0
Alexander Steen (LW/RW),St. Louis Blues,43,15,13,28,0.65,28,24,https://www.eliteprospects.com/player/460/alexander-steen,2011-12,nhl,Alexander Steen,LW/RW,FW,0,0.0,0
Matt Halischuk (RW),Nashville Predators,73,15,13,28,0.38,27,9,https://www.eliteprospects.com/player/12560/matt-halischuk,2011-12,nhl,Matt Halischuk,RW,FW,0,0.0,0
Matt Duchene (C/RW),Colorado Avalanche,58,14,14,28,0.48,8,-11,https://www.eliteprospects.com/player/12571/matt-duchene,2011-12,nhl,Matt Duchene,C/RW,FW,0,0.0,0
Lee Stempniak (RW),Calgary Flames,61,14,14,28,0.46,16,-2,https://www.eliteprospects.com/player/10199/lee-stempniak,2011-12,nhl,Lee Stempniak,RW,FW,0,0.0,0
Chris Neil (RW),Ottawa Senators,72,13,15,28,0.39,178,-10,https://www.eliteprospects.com/player/8949/chris-neil,2011-12,nhl,Chris Neil,RW,FW,0,0.0,0
Alexander Burmistrov (C),Winnipeg Jets,76,13,15,28,0.37,42,4,https://www.eliteprospects.com/player/22927/alexander-burmistrov,2011-12,nhl,Alexander Burmistrov,C,FW,0,0.0,0
Nikolai Kulyomin (LW/RW),Toronto Maple Leafs,70,7,21,28,0.40,6,2,https://www.eliteprospects.com/player/9258/nikolai-kulyomin,2011-12,nhl,Nikolai Kulyomin,LW/RW,FW,0,0.0,0
Dmitri Kulikov (D),Florida Panthers,58,4,24,28,0.48,36,-5,https://www.eliteprospects.com/player/11866/dmitri-kulikov,2011-12,nhl,Dmitri Kulikov,D,DEF,0,0.0,0
Cal Clutterbuck (RW),Minnesota Wild,74,15,12,27,0.36,103,-4,https://www.eliteprospects.com/player/9359/cal-clutterbuck,2011-12,nhl,Cal Clutterbuck,RW,FW,0,0.0,0
Sean Couturier (C),Philadelphia Flyers,77,13,14,27,0.35,14,18,https://www.eliteprospects.com/player/32885/sean-couturier,2011-12,nhl,Sean Couturier,C,FW,0,0.0,0
Andrew Brunette (LW),Chicago Blackhawks,78,12,15,27,0.35,4,-13,https://www.eliteprospects.com/player/9101/andrew-brunette,2011-12,nhl,Andrew Brunette,LW,FW,0,0.0,0
Marcel Goc (C),Florida Panthers,57,11,16,27,0.47,10,5,https://www.eliteprospects.com/player/8583/marcel-goc,2011-12,nhl,Marcel Goc,C,FW,0,0.0,0
Tim Stapleton (C/RW),Winnipeg Jets,63,11,16,27,0.43,10,-2,https://www.eliteprospects.com/player/9709/tim-stapleton,2011-12,nhl,Tim Stapleton,C/RW,FW,0,0.0,0
Mark Giordano (D),Calgary Flames,61,9,18,27,0.44,75,0,https://www.eliteprospects.com/player/9161/mark-giordano,2011-12,nhl,Mark Giordano,D,DEF,0,0.0,0
Jamie McBain (D),Carolina Hurricanes,76,8,19,27,0.36,4,-7,https://www.eliteprospects.com/player/9311/jamie-mcbain,2011-12,nhl,Jamie McBain,D,DEF,0,0.0,0
Martin Havlát (RW/LW),San Jose Sharks,39,7,20,27,0.69,22,10,https://www.eliteprospects.com/player/8624/martin-havlat,2011-12,nhl,Martin Havlát,RW/LW,FW,0,0.0,0
John-Michael Liles (D),Toronto Maple Leafs,66,7,20,27,0.41,20,-14,https://www.eliteprospects.com/player/8734/john-michael-liles,2011-12,nhl,John-Michael Liles,D,DEF,0,0.0,0
James Wisniewski (D),Columbus Blue Jackets,48,6,21,27,0.56,37,-13,https://www.eliteprospects.com/player/9407/james-wisniewski,2011-12,nhl,James Wisniewski,D,DEF,James Wisniewski,2.0,1
Lubomir Visnovsky (D),Anaheim Ducks,68,6,21,27,0.40,47,7,https://www.eliteprospects.com/player/8592/lubomir-visnovsky,2011-12,nhl,Lubomir Visnovsky,D,DEF,0,0.0,0
Paul Martin (D),Pittsburgh Penguins,73,2,25,27,0.37,18,9,https://www.eliteprospects.com/player/8778/paul-martin,2011-12,nhl,Paul Martin,D,DEF,0,0.0,0
Raffi Torres (LW),Phoenix Coyotes,79,15,11,26,0.33,83,2,https://www.eliteprospects.com/player/8857/raffi-torres,2011-12,nhl,Raffi Torres,LW,FW,0,0.0,0
Zack Smith (C/LW),Ottawa Senators,81,14,12,26,0.32,98,4,https://www.eliteprospects.com/player/14495/zack-smith,2011-12,nhl,Zack Smith,C/LW,FW,0,0.0,0
Andrew Cogliano (C/LW),Anaheim Ducks,82,13,13,26,0.32,15,-4,https://www.eliteprospects.com/player/9187/andrew-cogliano,2011-12,nhl,Andrew Cogliano,C/LW,FW,0,0.0,0
Brenden Morrow (LW),Dallas Stars,57,11,15,26,0.46,97,1,https://www.eliteprospects.com/player/8960/brenden-morrow,2011-12,nhl,Brenden Morrow,LW,FW,0,0.0,0
Joey Crabb (RW),Toronto Maple Leafs,67,11,15,26,0.39,33,1,https://www.eliteprospects.com/player/9395/joey-crabb,2011-12,nhl,Joey Crabb,RW,FW,0,0.0,0
Brian Boyle (C/LW),New York Rangers,82,11,15,26,0.32,59,2,https://www.eliteprospects.com/player/11429/brian-boyle,2011-12,nhl,Brian Boyle,C/LW,FW,0,0.0,0
Darren Helm (C/LW),Detroit Red Wings,68,9,17,26,0.38,12,5,https://www.eliteprospects.com/player/10438/darren-helm,2011-12,nhl,Darren Helm,C/LW,FW,0,0.0,0
Marcus Krüger (C),Chicago Blackhawks,71,9,17,26,0.37,22,11,https://www.eliteprospects.com/player/8311/marcus-kruger,2011-12,nhl,Marcus Krüger,C,FW,0,0.0,0
Nick Johnson (RW),Minnesota Wild,77,8,18,26,0.34,45,-6,https://www.eliteprospects.com/player/17765/nick-johnson,2011-12,nhl,Nick Johnson,RW,FW,0,0.0,0
Kyle Quincey (D),totals,72,7,19,26,0.36,89,-1,https://www.eliteprospects.com/player/10366/kyle-quincey,2011-12,nhl,Kyle Quincey,D,DEF,0,0.0,0
Fyodor Tyutin (D),Columbus Blue Jackets,66,5,21,26,0.39,49,-21,https://www.eliteprospects.com/player/8691/fyodor-tyutin,2011-12,nhl,Fyodor Tyutin,D,DEF,0,0.0,0
Erik Johnson (D),Colorado Avalanche,73,4,22,26,0.36,26,-7,https://www.eliteprospects.com/player/9207/erik-johnson,2011-12,nhl,Erik Johnson,D,DEF,Erik Johnson,11.0,1
Drew Miller (LW/RW),Detroit Red Wings,80,14,11,25,0.31,20,6,https://www.eliteprospects.com/player/11405/drew-miller,2011-12,nhl,Drew Miller,LW/RW,FW,0,0.0,0
Mark Letestu (C),totals,62,11,14,25,0.40,8,-9,https://www.eliteprospects.com/player/11423/mark-letestu,2011-12,nhl,Mark Letestu,C,FW,0,0.0,0
Sami Salo (D),Vancouver Canucks,69,9,16,25,0.36,10,7,https://www.eliteprospects.com/player/2672/sami-salo,2011-12,nhl,Sami Salo,D,DEF,0,0.0,0
Ville Leino (LW/RW),Buffalo Sabres,71,8,17,25,0.35,16,-2,https://www.eliteprospects.com/player/7418/ville-leino,2011-12,nhl,Ville Leino,LW/RW,FW,0,0.0,0
Erik Condra (RW/LW),Ottawa Senators,81,8,17,25,0.31,30,11,https://www.eliteprospects.com/player/11419/erik-condra,2011-12,nhl,Erik Condra,RW/LW,FW,0,0.0,0
Andrej Meszaros (D),Philadelphia Flyers,62,7,18,25,0.40,38,6,https://www.eliteprospects.com/player/8664/andrej-meszaros,2011-12,nhl,Andrej Meszaros,D,DEF,0,0.0,0
Nathan Gerbe (C/LW),Buffalo Sabres,62,6,19,25,0.40,32,2,https://www.eliteprospects.com/player/9216/nathan-gerbe,2011-12,nhl,Nathan Gerbe,C/LW,FW,0,0.0,0
Joe Corvo (D),Boston Bruins,75,4,21,25,0.33,13,10,https://www.eliteprospects.com/player/9122/joe-corvo,2011-12,nhl,Joe Corvo,D,DEF,0,0.0,0
Trevor Daley (D),Dallas Stars,79,4,21,25,0.32,42,3,https://www.eliteprospects.com/player/9128/trevor-daley,2011-12,nhl,Trevor Daley,D,DEF,0,0.0,0
Dominic Moore (C),totals,79,4,21,25,0.32,54,-18,https://www.eliteprospects.com/player/8964/dominic-moore,2011-12,nhl,Dominic Moore,C,FW,0,0.0,0
Jeff Petry (D),Edmonton Oilers,73,2,23,25,0.34,26,-7,https://www.eliteprospects.com/player/12265/jeff-petry,2011-12,nhl,Jeff Petry,D,DEF,0,0.0,0
René Bourque (LW/RW),totals,76,18,6,24,0.32,68,-19,https://www.eliteprospects.com/player/9089/rene-bourque,2011-12,nhl,René Bourque,LW/RW,FW,0,0.0,0
Tim Brent (C),Carolina Hurricanes,79,12,12,24,0.30,27,-8,https://www.eliteprospects.com/player/9508/tim-brent,2011-12,nhl,Tim Brent,C,FW,0,0.0,0
James van Riemsdyk (LW),Philadelphia Flyers,43,11,13,24,0.56,24,-1,https://www.eliteprospects.com/player/9324/james-van-riemsdyk,2011-12,nhl,James van Riemsdyk,LW,FW,0,0.0,0
Tomas Holmström (RW),Detroit Red Wings,74,11,13,24,0.32,40,-9,https://www.eliteprospects.com/player/712/tomas-holmstrom,2011-12,nhl,Tomas Holmström,RW,FW,0,0.0,0
Mikkel Bødker (LW/RW),Phoenix Coyotes,82,11,13,24,0.29,12,-2,https://www.eliteprospects.com/player/5996/mikkel-bodker,2011-12,nhl,Mikkel Bødker,LW/RW,FW,0,0.0,0
Jordan Leopold (D),Buffalo Sabres,79,10,14,24,0.30,28,4,https://www.eliteprospects.com/player/8997/jordan-leopold,2011-12,nhl,Jordan Leopold,D,DEF,0,0.0,0
