player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Eric Tangradi (LW/C),Pittsburgh Penguins,1,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/12514/eric-tangradi,2009-10,nhl,Eric Tangradi,LW/C,FW,Eric Tangradi,24.0,1
Guillaume Lefebvre (LW),Boston Bruins,1,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/12252/guillaume-lefebvre,2009-10,nhl,Guillaume Lefebvre,LW,FW,0,0.0,0
Maxim Noreau (D),Minnesota Wild,1,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/12153/maxim-noreau,2009-10,nhl,Maxim Noreau,D,DEF,0,0.0,0
Andrei Loktionov (C),Los Angeles Kings,1,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/11867/andrei-loktionov,2009-10,nhl,Andrei Loktionov,C,FW,0,0.0,0
Peter Ölvecký (LW/C),Nashville Predators,1,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/11772/peter-olvecky,2009-10,nhl,Peter Ölvecký,LW/C,FW,0,0.0,0
André Deveaux (RW/C),Toronto Maple Leafs,1,0,0,0,0.00,0,-1,https://www.eliteprospects.com/player/11755/andre-deveaux,2009-10,nhl,André Deveaux,RW/C,FW,0,0.0,0
Marc-André Cliche (C),Los Angeles Kings,1,0,0,0,0.00,0,1,https://www.eliteprospects.com/player/10435/marc-andre-cliche,2009-10,nhl,Marc-André Cliche,C,FW,0,0.0,0
Scott Jackson (D),Tampa Bay Lightning,1,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/11619/scott-jackson,2009-10,nhl,Scott Jackson,D,DEF,0,0.0,0
Kaspars Daugavins (W/C),Ottawa Senators,1,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/11335/kaspars-daugavins,2009-10,nhl,Kaspars Daugavins,W/C,FW,0,0.0,0
Darren Haydar (RW),Colorado Avalanche,1,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/10985/darren-haydar,2009-10,nhl,Darren Haydar,RW,FW,0,0.0,0
Greg Mauldin (C/W),New York Islanders,1,0,0,0,0.00,0,-1,https://www.eliteprospects.com/player/10292/greg-mauldin,2009-10,nhl,Greg Mauldin,C/W,FW,0,0.0,0
Tim Brent (C),Toronto Maple Leafs,1,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/9508/tim-brent,2009-10,nhl,Tim Brent,C,FW,0,0.0,0
Tim Wallace (C/RW),Pittsburgh Penguins,1,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/9409/tim-wallace,2009-10,nhl,Tim Wallace,C/RW,FW,0,0.0,0
Kurt Sauer (D),Phoenix Coyotes,1,0,0,0,0.00,0,1,https://www.eliteprospects.com/player/8870/kurt-sauer,2009-10,nhl,Kurt Sauer,D,DEF,Kurt Sauer,82.0,1
Rob Davison (D),New Jersey Devils,1,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/8750/rob-davison,2009-10,nhl,Rob Davison,D,DEF,0,0.0,0
Oskar Osala (LW/C),Carolina Hurricanes,1,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/8396/oskar-osala,2009-10,nhl,Oskar Osala,LW/C,FW,0,0.0,0
Johan Motin (D),Edmonton Oilers,1,0,0,0,0.00,0,-1,https://www.eliteprospects.com/player/6953/johan-motin,2009-10,nhl,Johan Motin,D,DEF,0,0.0,0
Perttu Lindgren (C),Dallas Stars,1,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/6423/perttu-lindgren,2009-10,nhl,Perttu Lindgren,C,FW,0,0.0,0
Mikko Lehtonen (RW),Boston Bruins,1,0,0,0,0.00,0,-1,https://www.eliteprospects.com/player/5877/mikko-lehtonen,2009-10,nhl,Mikko Lehtonen,RW,FW,0,0.0,0
Dustin Jeffrey (LW/C),Pittsburgh Penguins,1,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/11115/dustin-jeffrey,2009-10,nhl,Dustin Jeffrey,LW/C,FW,0,0.0,0
Guillaume Desbiens (RW/LW),Vancouver Canucks,1,0,0,0,0.00,2,0,https://www.eliteprospects.com/player/11497/guillaume-desbiens,2009-10,nhl,Guillaume Desbiens,RW/LW,FW,0,0.0,0
Pierre-Marc Bouchard (C),Minnesota Wild,1,0,0,0,0.00,2,0,https://www.eliteprospects.com/player/9086/pierre-marc-bouchard,2009-10,nhl,Pierre-Marc Bouchard,C,FW,Pierre-Marc Bouchard,23.0,1
Jared Cowen (D),Ottawa Senators,1,0,0,0,0.00,2,0,https://www.eliteprospects.com/player/12107/jared-cowen,2009-10,nhl,Jared Cowen,D,DEF,0,0.0,0
Radek Smolenak (LW/RW),Chicago Blackhawks,1,0,0,0,0.00,5,0,https://www.eliteprospects.com/player/9622/radek-smolenak,2009-10,nhl,Radek Smolenak,LW/RW,FW,0,0.0,0
Andy Wozniewski (D),Boston Bruins,2,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/8543/andy-wozniewski,2009-10,nhl,Andy Wozniewski,D,DEF,0,0.0,0
Petr Kalus (LW/RW),Minnesota Wild,2,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/9231/petr-kalus,2009-10,nhl,Petr Kalus,LW/RW,FW,0,0.0,0
Casey Borer (D),Carolina Hurricanes,2,0,0,0,0.00,0,-1,https://www.eliteprospects.com/player/9419/casey-borer,2009-10,nhl,Casey Borer,D,DEF,0,0.0,0
Chad Kolarik (RW),Columbus Blue Jackets,2,0,0,0,0.00,0,-1,https://www.eliteprospects.com/player/9432/chad-kolarik,2009-10,nhl,Chad Kolarik,RW,FW,0,0.0,0
Shawn Belle (D),Montréal Canadiens,2,0,0,0,0.00,0,-2,https://www.eliteprospects.com/player/9470/shawn-belle,2009-10,nhl,Shawn Belle,D,DEF,0,0.0,0
Aaron Gagnon (C/RW),Dallas Stars,2,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/9498/aaron-gagnon,2009-10,nhl,Aaron Gagnon,C/RW,FW,0,0.0,0
