player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
Miroslav Satan (RW),New York Islanders,82,35,31,66,0.80,54,-8,https://www.eliteprospects.com/player/666/miroslav-satan,2005-06,nhl,Miroslav Satan,RW,FW,0,0.0,0
Shane Doan (RW),Phoenix Coyotes,82,30,36,66,0.80,123,-9,https://www.eliteprospects.com/player/9137/shane-doan,2005-06,nhl,Shane Doan,RW,FW,0,0.0,0
Alexei Yashin (C),New York Islanders,82,28,38,66,0.80,68,-14,https://www.eliteprospects.com/player/8695/alexei-yashin,2005-06,nhl,Alexei Yashin,C,FW,0,0.0,0
Craig Conroy (C),Los Angeles Kings,78,22,44,66,0.85,78,13,https://www.eliteprospects.com/player/9121/craig-conroy,2005-06,nhl,Craig Conroy,C,FW,0,0.0,0
Mike Knuble (RW),Philadelphia Flyers,82,34,31,65,0.79,80,25,https://www.eliteprospects.com/player/4322/mike-knuble,2005-06,nhl,Mike Knuble,RW,FW,0,0.0,0
Alexei Kovalev (RW),Montréal Canadiens,69,23,42,65,0.94,76,-1,https://www.eliteprospects.com/player/8670/alexei-kovalev,2005-06,nhl,Alexei Kovalev,RW,FW,0,0.0,0
Brenden Morrow (LW),Dallas Stars,81,23,42,65,0.80,183,30,https://www.eliteprospects.com/player/8960/brenden-morrow,2005-06,nhl,Brenden Morrow,LW,FW,0,0.0,0
David Výborný (C),Columbus Blue Jackets,80,22,43,65,0.81,50,-9,https://www.eliteprospects.com/player/1920/david-vyborny,2005-06,nhl,David Výborný,C,FW,0,0.0,0
Mark Recchi (RW),totals,83,28,36,64,0.77,68,-36,https://www.eliteprospects.com/player/8869/mark-recchi,2005-06,nhl,Mark Recchi,RW,FW,0,0.0,0
Mike Sillinger (C),totals,79,32,31,63,0.80,63,-17,https://www.eliteprospects.com/player/8881/mike-sillinger,2005-06,nhl,Mike Sillinger,C,FW,0,0.0,0
Andrew Brunette (LW),Colorado Avalanche,82,24,39,63,0.77,48,9,https://www.eliteprospects.com/player/9101/andrew-brunette,2005-06,nhl,Andrew Brunette,LW,FW,0,0.0,0
Scott Niedermayer (D),Mighty Ducks of Anaheim,82,13,50,63,0.77,96,8,https://www.eliteprospects.com/player/8521/scott-niedermayer,2005-06,nhl,Scott Niedermayer,D,DEF,0,0.0,0
Pavol Demitra (C),Los Angeles Kings,58,25,37,62,1.07,42,21,https://www.eliteprospects.com/player/8596/pavol-demitra,2005-06,nhl,Pavol Demitra,C,FW,Pavol Demitra,8.0,1
Ales Kotalik (RW/LW),Buffalo Sabres,82,25,37,62,0.76,62,-3,https://www.eliteprospects.com/player/8676/ales-kotalik,2005-06,nhl,Ales Kotalik,RW/LW,FW,0,0.0,0
Robert Lang (C),Detroit Red Wings,72,20,42,62,0.86,72,17,https://www.eliteprospects.com/player/8617/robert-lang,2005-06,nhl,Robert Lang,C,FW,0,0.0,0
Saku Koivu (C),Montréal Canadiens,72,17,45,62,0.86,70,1,https://www.eliteprospects.com/player/2669/saku-koivu,2005-06,nhl,Saku Koivu,C,FW,0,0.0,0
Martin St-Louis (RW),Tampa Bay Lightning,80,31,30,61,0.76,38,-3,https://www.eliteprospects.com/player/8772/martin-st-louis,2005-06,nhl,Martin St-Louis,RW,FW,0,0.0,0
Darcy Tucker (LW),Toronto Maple Leafs,74,28,33,61,0.82,100,-12,https://www.eliteprospects.com/player/8859/darcy-tucker,2005-06,nhl,Darcy Tucker,LW,FW,0,0.0,0
Mike Comrie (C),Phoenix Coyotes,80,30,30,60,0.75,55,2,https://www.eliteprospects.com/player/4701/mike-comrie,2005-06,nhl,Mike Comrie,C,FW,0,0.0,0
Jason Allison (C),Toronto Maple Leafs,66,17,43,60,0.91,76,-18,https://www.eliteprospects.com/player/9064/jason-allison,2005-06,nhl,Jason Allison,C,FW,0,0.0,0
Erik Cole (LW),Carolina Hurricanes,60,30,29,59,0.98,54,19,https://www.eliteprospects.com/player/8732/erik-cole,2005-06,nhl,Erik Cole,LW,FW,0,0.0,0
Marco Sturm (LW),totals,74,29,30,59,0.80,48,6,https://www.eliteprospects.com/player/8573/marco-sturm,2005-06,nhl,Marco Sturm,LW,FW,Marco Sturm,2.0,1
Tomas Holmström (RW),Detroit Red Wings,81,29,30,59,0.73,66,14,https://www.eliteprospects.com/player/712/tomas-holmstrom,2005-06,nhl,Tomas Holmström,RW,FW,0,0.0,0
Kyle Calder (LW),Chicago Blackhawks,79,26,33,59,0.75,52,-4,https://www.eliteprospects.com/player/5671/kyle-calder,2005-06,nhl,Kyle Calder,LW,FW,0,0.0,0
Daymond Langkow (C),Calgary Flames,82,25,34,59,0.72,46,2,https://www.eliteprospects.com/player/8986/daymond-langkow,2005-06,nhl,Daymond Langkow,C,FW,0,0.0,0
Mathieu Schneider (D),Detroit Red Wings,72,21,38,59,0.82,86,33,https://www.eliteprospects.com/player/8875/mathieu-schneider,2005-06,nhl,Mathieu Schneider,D,DEF,0,0.0,0
Pierre-Marc Bouchard (C),Minnesota Wild,80,17,42,59,0.74,28,3,https://www.eliteprospects.com/player/9086/pierre-marc-bouchard,2005-06,nhl,Pierre-Marc Bouchard,C,FW,0,0.0,0
Daniel Brière (C),Buffalo Sabres,48,25,33,58,1.21,48,3,https://www.eliteprospects.com/player/8770/daniel-briere,2005-06,nhl,Daniel Brière,C,FW,0,0.0,0
Milan Hejduk (RW),Colorado Avalanche,74,24,34,58,0.78,24,13,https://www.eliteprospects.com/player/8603/milan-hejduk,2005-06,nhl,Milan Hejduk,RW,FW,Milan Hejduk,1.0,1
Jason Williams (RW/C),Detroit Red Wings,80,21,37,58,0.73,26,4,https://www.eliteprospects.com/player/8713/jason-williams,2005-06,nhl,Jason Williams,RW/C,FW,Jason Williams,3.0,1
Sergei Gonchar (D),Pittsburgh Penguins,75,12,46,58,0.77,100,-13,https://www.eliteprospects.com/player/8678/sergei-gonchar,2005-06,nhl,Sergei Gonchar,D,DEF,0,0.0,0
Jason Blake (LW/C),New York Islanders,76,28,29,57,0.75,60,0,https://www.eliteprospects.com/player/8782/jason-blake,2005-06,nhl,Jason Blake,LW/C,FW,0,0.0,0
Dainius Zubrus (W/C),Washington Capitals,71,23,34,57,0.80,84,3,https://www.eliteprospects.com/player/8632/dainius-zubrus,2005-06,nhl,Dainius Zubrus,W/C,FW,0,0.0,0
Yanic Perreault (C),Nashville Predators,69,22,35,57,0.83,30,-3,https://www.eliteprospects.com/player/8912/yanic-perreault,2005-06,nhl,Yanic Perreault,C,FW,0,0.0,0
Nils Ekman (LW),San Jose Sharks,77,21,36,57,0.74,54,20,https://www.eliteprospects.com/player/75/nils-ekman,2005-06,nhl,Nils Ekman,LW,FW,0,0.0,0
Doug Weight (C),totals,70,15,42,57,0.81,75,-17,https://www.eliteprospects.com/player/8733/doug-weight,2005-06,nhl,Doug Weight,C,FW,0,0.0,0
Joe Nieuwendyk (C),Florida Panthers,65,26,30,56,0.86,46,-2,https://www.eliteprospects.com/player/8950/joe-nieuwendyk,2005-06,nhl,Joe Nieuwendyk,C,FW,0,0.0,0
Brendan Morrison (C),Vancouver Canucks,82,19,37,56,0.68,84,-1,https://www.eliteprospects.com/player/4321/brendan-morrison,2005-06,nhl,Brendan Morrison,C,FW,0,0.0,0
Ladislav Nagy (LW/RW),Phoenix Coyotes,51,15,41,56,1.10,74,8,https://www.eliteprospects.com/player/5522/ladislav-nagy,2005-06,nhl,Ladislav Nagy,LW/RW,FW,Ladislav Nagy,1.0,1
Chris Pronger (D),Edmonton Oilers,80,12,44,56,0.70,74,2,https://www.eliteprospects.com/player/8538/chris-pronger,2005-06,nhl,Chris Pronger,D,DEF,0,0.0,0
Anson Carter (RW),Vancouver Canucks,81,33,22,55,0.68,41,-1,https://www.eliteprospects.com/player/9111/anson-carter,2005-06,nhl,Anson Carter,RW,FW,0,0.0,0
Michael Ryder (RW),Montréal Canadiens,81,30,25,55,0.68,40,-5,https://www.eliteprospects.com/player/4487/michael-ryder,2005-06,nhl,Michael Ryder,RW,FW,0,0.0,0
Michael Cammalleri (W/C),Los Angeles Kings,80,26,29,55,0.69,50,-14,https://www.eliteprospects.com/player/9104/michael-cammalleri,2005-06,nhl,Michael Cammalleri,W/C,FW,0,0.0,0
Ray Whitney (LW),Carolina Hurricanes,63,17,38,55,0.87,42,0,https://www.eliteprospects.com/player/8824/ray-whitney,2005-06,nhl,Ray Whitney,LW,FW,0,0.0,0
